epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,533.186,1.15953,2.33458,0.85214,0.4982,0.09702,0.06788,0.03633,1.02312,0.93888,0.92238,0.00333053,0.00333053,0.00333053
2,1054.98,0.87574,0.7948,0.54411,0.37356,0.13877,0.10745,0.05544,0.92698,0.91949,0.81906,0.00661989,0.00661989,0.00661989
3,1572.3,0.88582,0.76064,0.52211,0.10419,0.15944,0.09744,0.04732,0.93798,0.90005,0.80496,0.00986524,0.00986524,0.00986524
4,2088.86,0.90058,0.74937,0.52305,0.42172,0.13996,0.10873,0.0568,0.94655,0.86221,0.81725,0.009802,0.009802,0.009802
5,2605.85,0.87935,0.74609,0.49763,0.29311,0.18058,0.13196,0.06806,0.88253,0.88903,0.73791,0.009736,0.009736,0.009736
6,3122.52,0.86336,0.74323,0.48038,0.18878,0.19612,0.14641,0.07745,0.87172,0.87753,0.72765,0.00967,0.00967,0.00967
7,3639.05,0.8398,0.74728,0.46363,0.46806,0.20214,0.17568,0.0946,0.84506,0.86014,0.70662,0.009604,0.009604,0.009604
8,4155.67,0.82955,0.74581,0.45342,0.43647,0.21083,0.16957,0.09092,0.83077,0.87,0.68849,0.009538,0.009538,0.009538
9,4672.08,0.82353,0.74748,0.44494,0.45394,0.23828,0.18499,0.10199,0.8133,0.86877,0.67176,0.009472,0.009472,0.009472
10,5188.61,0.80623,0.75283,0.43782,0.37869,0.22096,0.18873,0.10113,0.80916,0.86934,0.67913,0.009406,0.009406,0.009406
11,5705.12,0.80571,0.74131,0.43109,0.48455,0.23626,0.20037,0.1071,0.81048,0.83033,0.6777,0.00934,0.00934,0.00934
12,6221.77,0.79957,0.74807,0.42757,0.47966,0.24524,0.20992,0.11326,0.79028,0.84989,0.64847,0.009274,0.009274,0.009274
13,6738.56,0.79286,0.7427,0.42229,0.34125,0.27613,0.22118,0.11909,0.79074,0.81959,0.65787,0.009208,0.009208,0.009208
14,7255.05,0.78948,0.7393,0.41859,0.36914,0.25856,0.21689,0.11924,0.77609,0.83034,0.63878,0.009142,0.009142,0.009142
15,7771.64,0.78803,0.73942,0.41789,0.34871,0.27108,0.2176,0.1228,0.76839,0.82829,0.62969,0.009076,0.009076,0.009076
16,8288.29,0.77617,0.74131,0.41066,0.45967,0.26937,0.22424,0.12361,0.76924,0.82009,0.63485,0.00901,0.00901,0.00901
17,8805.04,0.77295,0.74312,0.40924,0.47337,0.27299,0.22436,0.12678,0.75828,0.82532,0.62105,0.008944,0.008944,0.008944
18,9321.39,0.77231,0.73873,0.4083,0.48626,0.27695,0.23921,0.13276,0.75728,0.81011,0.61937,0.008878,0.008878,0.008878
19,9837.76,0.76251,0.74595,0.40186,0.48989,0.27441,0.23762,0.13419,0.75137,0.81698,0.61921,0.008812,0.008812,0.008812
20,10354.1,0.76642,0.73698,0.40008,0.40201,0.28541,0.23906,0.13262,0.74578,0.82041,0.61825,0.008746,0.008746,0.008746
21,10870.7,0.75942,0.73932,0.39585,0.40387,0.29438,0.24732,0.13637,0.74435,0.81306,0.61332,0.00868,0.00868,0.00868
22,11387.2,0.76122,0.73465,0.39566,0.38116,0.30632,0.25035,0.13964,0.74676,0.80824,0.61589,0.008614,0.008614,0.008614
23,11903.8,0.75821,0.73688,0.3953,0.41692,0.29418,0.25453,0.14214,0.73905,0.81107,0.60587,0.008548,0.008548,0.008548
