                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                1.83993,                2.62057,                1.77181,                0.28000,                0.24000,                0.25000,                0.15360,                1.84164,                2.52560,                1.68968,               0.001000,               0.001000,               0.001000
                      2,                1.74491,                2.43715,                1.69446,                0.31220,                0.26633,                0.29703,                0.14214,                1.66978,                2.30262,                1.65066,               0.000980,               0.000980,               0.000980
                      3,                1.69394,                2.33877,                1.65297,                0.30687,                0.28913,                0.29026,                0.14593,                1.70769,                2.25786,                1.61722,               0.000960,               0.000960,               0.000960
                      4,                1.66523,                2.28335,                1.62961,                0.30582,                0.32899,                0.30993,                0.14000,                1.65541,                2.22831,                1.61699,               0.000939,               0.000939,               0.000939
                      5,                1.60083,                2.15905,                1.57719,                0.34848,                0.32000,                0.25605,                0.18654,                1.66669,                2.05133,                1.59101,               0.000919,               0.000919,               0.000919
                      6,                1.60058,                2.15857,                1.57699,                0.38852,                0.34400,                0.29213,                0.20706,                1.56758,                2.02171,                1.51766,               0.000899,               0.000899,               0.000899
                      7,                1.50743,                1.97876,                1.50117,                0.37027,                0.34762,                0.34634,                0.20845,                1.48929,                1.83540,                1.51226,               0.000879,               0.000879,               0.000879
                      8,                1.46854,                1.90370,                1.46951,                0.38309,                0.31397,                0.35323,                0.21856,                1.52612,                1.85541,                1.51755,               0.000859,               0.000859,               0.000859
                      9,                1.46599,                1.89876,                1.46743,                0.34290,                0.37351,                0.37066,                0.21639,                1.43311,                1.86270,                1.48504,               0.000838,               0.000838,               0.000838
                     10,                1.37177,                1.71690,                1.39074,                0.42229,                0.37317,                0.38195,                0.23768,                1.39217,                1.70225,                1.41581,               0.000818,               0.000818,               0.000818
                     11,                1.36153,                1.69713,                1.38241,                0.40741,                0.39555,                0.35533,                0.24421,                1.46137,                1.67179,                1.40707,               0.000798,               0.000798,               0.000798
                     12,                1.36146,                1.69701,                1.38235,                0.43922,                0.41793,                0.40873,                0.26641,                1.34997,                1.68513,                1.30341,               0.000778,               0.000778,               0.000778
                     13,                1.29341,                1.56566,                1.32696,                0.41603,                0.39696,                0.44408,                0.26252,                1.28652,                1.50682,                1.34444,               0.000758,               0.000758,               0.000758
                     14,                1.28890,                1.55695,                1.32329,                0.42487,                0.43412,                0.39712,                0.28134,                1.33936,                1.52719,                1.32283,               0.000737,               0.000737,               0.000737
                     15,                1.25941,                1.50003,                1.29929,                0.44688,                0.44767,                0.45798,                0.23055,                1.32971,                1.51264,                1.33726,               0.000717,               0.000717,               0.000717
                     16,                1.21670,                1.41759,                1.26453,                0.43724,                0.44881,                0.46545,                0.29453,                1.31720,                1.40899,                1.29394,               0.000697,               0.000697,               0.000697
                     17,                1.24631,                1.47473,                1.28862,                0.48050,                0.44916,                0.42047,                0.29183,                1.27498,                1.46368,                1.28610,               0.000677,               0.000677,               0.000677
                     18,                1.18439,                1.35521,                1.23822,                0.48812,                0.44544,                0.47175,                0.30622,                1.32313,                1.34957,                1.26273,               0.000657,               0.000657,               0.000657
                     19,                1.17844,                1.34373,                1.23338,                0.50365,                0.46112,                0.46669,                0.28717,                1.17826,                1.35148,                1.19117,               0.000636,               0.000636,               0.000636
                     20,                1.20940,                1.40349,                1.25858,                0.50465,                0.49474,                0.50734,                0.30449,                1.22588,                1.38218,                1.26334,               0.000616,               0.000616,               0.000616
                     21,                1.16874,                1.32502,                1.22549,                0.50739,                0.46707,                0.46328,                0.30682,                1.22926,                1.33752,                1.31234,               0.000596,               0.000596,               0.000596
