epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7736,2.03488,3.55253,2.0823,0.38914,0.13335,0.05008,0.01857,2.56833,3.34854,2.65381,0.0700252,0.00333053,0.00333053
2,170.326,1.9846,2.96505,2.06659,0.16998,0.10794,0.05031,0.01769,2.45884,3.33562,2.68116,0.0399812,0.00661989,0.00661989
3,252.699,2.01926,2.99191,2.13282,0.1474,0.08942,0.03077,0.01131,2.62898,3.80861,2.96648,0.00989323,0.00986524,0.00986524
4,334.264,2.03391,3.02268,2.16871,0.09522,0.05481,0.03938,0.01392,2.52327,3.43744,2.73251,0.009802,0.009802,0.009802
5,416.003,1.96828,2.88139,2.10691,0.28391,0.11649,0.06206,0.02305,2.30765,3.05209,2.5041,0.009736,0.009736,0.009736
6,497.733,1.91564,2.78733,2.05831,0.3197,0.14091,0.0907,0.03841,2.26261,2.9635,2.44319,0.00967,0.00967,0.00967
7,579.664,1.88659,2.72765,2.0276,0.35377,0.15901,0.09652,0.03904,2.21271,2.88801,2.40038,0.009604,0.009604,0.009604
8,661.409,1.85919,2.66518,1.99518,0.37968,0.16269,0.1135,0.04786,2.15617,2.82268,2.34677,0.009538,0.009538,0.009538
9,743.225,1.83388,2.62972,1.9751,0.35593,0.18895,0.11844,0.05363,2.16576,2.78621,2.32284,0.009472,0.009472,0.009472
10,825.166,1.81371,2.59294,1.95526,0.36456,0.1905,0.14568,0.06606,2.14105,2.70618,2.3087,0.009406,0.009406,0.009406
11,906.846,1.8044,2.56404,1.94541,0.35591,0.19965,0.15487,0.0695,2.10006,2.6443,2.27528,0.00934,0.00934,0.00934
12,988.719,1.78859,2.53895,1.9348,0.33501,0.19866,0.15325,0.07199,2.05865,2.61103,2.2283,0.009274,0.009274,0.009274
13,1070.44,1.78149,2.5141,1.9244,0.44759,0.21644,0.15561,0.07341,2.05376,2.5954,2.22545,0.009208,0.009208,0.009208
